num|anio|doc
4|2017|CCO-INDECOPI
1|2005|CCO-INDECOPI-LAM
105|2003|CCO-ODI-ULI
57|2015|CCO-INDECOPI
34|1999|CSM-ODI-CCPL
54|2020|CCO-INDECOPI
366|2006|CCO-INDECOPI
172|2011|CCO-INDECOPI
26|2016|CCO-INDECOPI
52|2020|CCO-INDECOPI
10|2003|CCO-INDECOPI-LAM
103|2016|CCO-INDECOPI
114|2019|CCOINDECOPI
24|2011|CCO-INDECOPI-PIU
26|2020|CCO- INDECOPI
402|2007|CCO-INDECOPI
33|2010|CCO-INDECOPI
93|2003|CCO-ODI-UDP
4|2018|CCO-INDECOPI
33|2012|CCO-INDECOPI
75|2000|CRP-ODI-ULI
101|2015|ILN-CCO
12|2018|CCO-INDECOPI-02-01
127|2012|CCO-INDECOPI
138|2019|CCO- INDECOPI
385|2009|CCO-INDECOPI
124|2001|CRP-ODI-CCPL
101|2003|CCO-ODI-UDP
384|2009|CCO-INDECOPI
290|1998|CSM-ODI-CCPL
36|2012|CCO-INDECOPI
91|2002|CRP-ODI-ULI
50|1999|CSM-ODI-ULI
29|2000|CRP-PIURA
198|2006|CCO-INDECOPI
4|2018|CCO-INDECOPI-LOR
81|2018|CCO-INDECOPI
229|2012|CCO-INDECOPI
233|2014|CCO-INDECOPI
39|2017|CCO-INDECOPI
65|2020|CCO- INDECOPI
199|2013|CCO-INDECOPI
462|1998|CSM-ODI-CAL
400|1998|CSM-ODI-CAL
6|2004|CCO-ODI-UDP
280|2005|CCO-INDECOPI
115|2016|CCO-INDECOPI
29|2008|CCO-INDECOPI
57|2017|CCO-INDECOPI
20|2017|CCO-INDECOPI
20|2002|CRP-ODI-ULI
13|2004|CCO-ODI-ESN
82|2019|CCO-INDECOPI
122|2014|CCO-INDECOPI
193|1999|CRP-ODI-CCPL
11|2020|CCO- INDECOPI
11|2007|CCO-INDECOPI-AQP
56|2020|CCO- INDECOPI
76|2000|CRP-ODI-ULI
2|1997|CRP-IQT
7|2021|CCO-INDECOPI
46|1999|CSM-ODI-CCPL
69|2019|CCO- INDECOPI 
52|2018|CCO-INDECOPI
66|2005|CCO-INDECOPI
123|2019|CCO-INDECOPI
36|2003|CCO-ODI-ESN
5|2018|CCO-INDECOPI-LOR
796|2000|CRP-ODI-
43|2005|CCO-INDECOPI
14|2003|CCO-ODI-ULI
29|2001|CRP-ODICIX-CCPL
135|2018|CCO-INDECOPI
34|2012|CCO-INDECOPI
1|2018|CCO-INDECOPI
322|2007|CCO-INDECOPI
15|2010|CCO-INDECOPI-AQP
62|2019|CCO-INDECOPI
14|2004|CCO-ODI-ULI
21|2013|CCO-INDECOPI
145|2004|CCO-ODI-ESN
31|2004|CCO-ODI-ULI
442|2006|CCO-INDECOPI
15|2003|CCO-INDECOPI-AQP
3|2018|CCO-INDECOPI-LOR
124|2003|CCO-ODI-ULI
432|2009|CCO-INDECOPI
30|2015|CCO-INDECOPI-AQP
56|2018|CCO-INDECOPI
1|2018|CCO-INDECOPI-CUS
225|1999|CRP-ODI-CCPL
21|2004|CCO-INDECOPI-AQP
34|2016|CCO-INDECOPI
8|2014|CCO-INDECOPI-AQP
75|2017|CCO-INDECOPI
518|1999|CSM-ODI-CAM
25|2001|CRP-ODI-ULI
51|2019|ABC
210|2001|CRP-ODI-ULI
92|2019|CCO-INDECOPI
151|2006|CCO-INDECOPI
19|2019|ABC
3|2011|CCO-INDECOPI-AQP
338|2007|CCO-INDECOPI
105|2003|CCO-ODI-UDP
58|2004|CCO-ODI-ULI
143|2000|CRP-ODI-CCPL
11|2014|CCO-INDECOPI
96|2020|CCO-INDECOPI
156|2019|CCO- INDECOPI
123|2001|CRP-ODI-CCPL
1|2018|CCO-INDECOPI-AQP
171|1999|CSM-ODI-ULI
44|2010|CCO-INDECOPI
19|2003|CCO-INDECOPI-LAL
256|2009|CCO-INDECOPI
68|2003|CCO-ODI-ESN
100|2016|CCO-INDECOPI
19|2020|CCO- INDECOPI
127|2019|CCO- INDECOPI
1|2017|ILN-CCO
22|2006|CCO-INDECOPI-LAM
306|1998|CSM-ODI-CAL
86|1995|CRE-CAL
55|2019|ABC
67|2011|CCO-INDECOPI
8|2014|CCO-INDECOPI-LOR
72|2004|CCO-ODI-UDP
77|2017|CCO-INDECOPI
110|2018|ABC
193|2005|CCO-INDECOPI
195|1999|CRP-ODI-CCPL
62|2015|ILN-CCO
7|2018|CCO-INDECOPI
58|2004|CCO-ODI-ESN
23|2014|CCO-INDECOPI
108|1995|CRE-CAL
3|2018|CCO-INDECOPI-AQP
517|1999|CSM-ODI-CAM
27|2008|CCO-INDECOPI-AQP
35|2012|CCO-INDECOPI
6|2020|CCO-INDECOPI-AQP
4|2002|CRP-ODI-ULI
54|2021|CCO-INDECOPI
88|2004|CCO-ODI-ESN
71|2009|CCO-INDECOPI
8|2002|CRP-LBT
232|2008|CCO-INDECOPI
5|2016|CCO-INDECOPI-LOR
102|2008|CCO-INDECOPI
171|2001|CRP-ODI-ULI
10|2008|CCO-INDECOPI-LAL
3|2021|CCO-INDECOPI-AQP
7|1999|CRP-IQT
181|2001|CRP-ODI-ULI
191|2005|CCO-INDECOPI
420|2006|CCO-INDECOPI
10|2021|CCO-INDECOPI
1|1993|CRP-AQP
9|2018|CCO-INDECOPI-LOR
35|2003|CCO-ODI-UDP
121|2001|CRP-AQP
192|2014|CCO-INDECOPI
43|1996|CCE-CCPL
2|2017|CCO-INDECOPI-AQP
68|2017|CCO-INDECOPI  
121|1996|CRE-CAL
40|2002|CCO-ODI-UDP
167|2000|CRP-ODI-ULI
20|2018|CCO-INDECOPI
236|1998|CSM-ODI-CAL
116|1998|CSM-ODI-CCPL
9|2014|CCO-INDECOPI-AQP
60|1999|CSM-ODI-ULI
6|2008|CCO-INDECOPI-LAL
118|2018|CCO- INDECOPI
306|1998|CSM-ODI-CCPL
117|2019|CCO- INDECOPI
42|2002|CRP-ODI-ULI
155|2001|CRP-ODI-ULI
105|2017|CCO-INDECOPI
14|1997|CRP-AQP
21|2000|CAH – AREQUIPA
66|2001|CRP-ODI-ULI
5|1997|CRP-AQP
147|2004|CCO-ODI-UDP
21|2001|CRP-ODI-ULI
56|2016|CCO-INDECOPI
225|2001|CRP-ODI-ULI
314|2008|CCO-INDECOPI
10|2002|CCO-INDECOPI-LOR
49|2020|CCO-INDECOPI
98|2004|CCO-ODI-ULI
629|1999|CRP-ODI-CAM
62|2017|CCO-INDECOPI
38|2022|CCOINDECOPI
36|2001|CRP-PIURA
120|2018|CCO-INDECOPI
64|2020|CCO-INDECOPI
197|2001|CRP-ODI-ULI
5|2020|CCO-INDECOPI
25|2001|CRP-ODICIX-CCPL
261|2000|CRP-ODI-PUC
82|2002|CRP-ODI-ULI
76|2017|CCO-INDECOPI
16|1997|CRP-ODICIX-CCPL
1260|2002|CCO-ODI-ESN
80|2002|CRP-AQP
97|2003|CCO-ODI-UDP
145|2019|CCO-INDECOPI
42|1999|CSM-ODI-ULI
1|2015|CCO-INDECOPI-LOR
37|2004|CCO-ODI-ESN
44|2005|CCO-INDECOPI
298|2011|CCO-INDECOPI
57|2001|CRP-ODI-ULI
24|2003|CCO-ODI-UDP
1|2000|CRP-ODI-CCPL
188|1998|CSM-ODI-CCPL
54|2001|CRP-ODI-CCPL
87|2017|CCO-INDECOPI
67|2018|CCO-INDECOPI
112|2004|CCO-ODI-ULI
20|2001|CRP-IQT
231|2014|CCO-INDECOPI
99|2020|CCO- INDECOPI
1072|2001|CRP-ODI-CAM
8|2003|CCO-INDECOPI-LOR
98|2020|CCO-INDECOPI
17|2001|CRP-LBT
4|2004|CCO-ODI-UDP
59|2019|CCO-INDECOPI
63|1995|CRE-CAL
2|2015|CCO-INDECOPI-LOR
178|1997|CRE-CAL
9|2006|CCO-INDECOPI-AQP
13|2005|CCO-INDECOPI
166|2000|CRP-ODI-CCPL
90|2018|CCO-INDECOPI
8|1998|CRP-IQT
101|2021|CCO-INDECOPI
127|2021|CCO- INDECOPI
105|2020|CCO-INDECOPI
4|1997|CRP-LBT
44|2003|CCO-ODI-ESN
246|2006|CCO-INDECOPI
2|2014|CCO-INDECOPI
10|2014|CCO-INDECOPI-AQP
841|2000|CRP-ODI-CAM
4|1997|CRP-AQP
75|1995|CRE-CAL
5|2021|CCO-INDECOPI-AQP
34|2002|CRP-LBT
192|1998|CSM-ODI-CCPL
13|2021|CCO-INDECOPI-AQP
85|2019|CCO-INDECOPI
122|2019|CCO- INDECOPI
38|1999|CSM-ODI-ULI
20|2014|ILN-CCO
16|2004|CCO-ODI-UDP
946|2001|CRP-ODI-CAM
91|2002|CRP-AQP
40|2004|CCO-ODI-ULI
68|1999|CSM-ODI-CCPL
47|2022|CCO-INDECOPI
102|1999|CSM-ODI-ULI
11|2004|CCO-ODI-UDP
134|2004|CCO-ODI-UDP
36|2020|CCO-INDECOPI
13|2002|CRP-ODI-UDP
128|2012|CCO-INDECOPI
2|2006|CCO-INDECOPI-LOR
625|1999|CRP-ODI-CAM
262|2001|CRP-ODI-ULI
14|2003|CCO-ODI-UDP
13|2004|CCO-INDECOPI-LAL
10|2011|CCO-INDECOPI-LAL
1|2001|CRP-ODI-CCPL
7|1997|CRP-AQP
6|2003|CCO-INDECOPI-LOR
167|2001|CRP-ODI-CCPL
54|2014|ILN-CCO
5|1998|CRP-ODICIX-CCPL
169|2001|CRP-ODI-CCPL
10|2020|CCO-INDECOPI
4|2016|CCO-INDECOPI-LOR
3|2020|CCO- INDECOPI
78|2019|CCO-INDECOPI
22|2021|CCO-INDECOPI
45|2001|CRP-ODI-CCPL
134|2021|CCO-INDECOPI
29|2004|CCO-ODI-UDP
6|2014|CCO-INDECOPI-AQP
14|1997|CRP-ODICIX-CCPL
4|2013|CCO-INDECOPI-LOR
51|2004|CCO-ODI-ESN
160|2001|CRP-ODI-CCPL
33|2012|ILN-CCO
55|2020|CCO- INDECOPI
155|2019|CCO-INDECOPI
53|2001|CRP-ODI-ULI
127|2018|CCO-INDECOPI
2|2017|CCO-INDECOPI-LOR
95|2013|CCO-INDECOPI
3|2004|CCO-INDECOPI-LOR
87|2020|CCO- INDECOPI
27|2004|CCO-ODI-ULI
170|2004|CCO-ODI-ESN
45|2019|CCO- INDECOPI
187|2000|CRP-ODI-ULI
41|2001|CRP-ODI-ULI
13|2021|CCO-INDECOPI
158|2004|CCO-ODI-ESN
196|2014|CCO-INDECOPI
8|2017|ILN-CCO
1|1999|CSM-PIURA
62|1996|CSM
95|2016|CCO-INDECOPI
10|2011|CCO-INDECOPI
25|2000|CRP-LBT
85|2018|CCO-INDECOPI
76|2018|CCO-INDECOPI
29|2001|CRP-AQP
320|1998|CSM-ODI-CCPL
6|1998|CRP-ODICIX-CCPL
78|2000|CRP-ODI-ULI
216|2012|CCO-INDECOPI
73|2020|CCO-INDECOPI
108|2016|CCO-INDECOPI
147|2001|CRP-ODI-ULI
7|2008|CCO-INDECOPI-LAL
14|2004|CCO-ODI-UDP
50|2004|CCO-INDECOPI
114|2004|CCO-ODI-ULI
607|1999|CRP-ODI-CAM
105|2015|ILN-CCO
93|2004|CCO-ODI-UDP
159|1999|CSM-ODI-ULI
137|2014|CCO-INDECOPI
9|1996|CRP-ODICIX-CCPL
58|2002|CRP-AQP
312|2006|CCO-INDECOPI
31|2004|CCO-INDECOPI
17|2002|CRP-LBT
150|1996|CRE-CAL
43|2000|CRP-LBT
97|2021|CCO-INDECOPI
69|2002|CCO-ODI-UDP
13|2004|CCO-INDECOPI-PIU
35|2003|CCO-INDECOPI-AQP
120|2009|CCO-INDECOPI
16|2019|CCO- INDECOPI
258|2008|CCO-INDECOPI
652|1999|CRP-ODI-CAM
485|1998|CSM-ODI-CAL
7|2004|CCO-INDECOPI-LAL
1|2019|CCO-INDECOPI-AQP
1|2000|CRP-ODI-ULI
83|2014|ILN-CCO
90|2001|CRP-ODI-ULI
5|1996|CRP-IQT
77|2000|CRP-ODI-ULI
11|2011|CCO-INDECOPI-LAL
42|2007|CCO-INDECOPI-LAM
60|1993|CSM
1|1998|CRP-LBT
137|2004|CCO-ODI-UDP
768|2000|CRP-ODI-CAM
105|2000|CRP-ODI-ULI
12|2000|CRP-PIURA
71|2004|CCO-ODI-UDP
24|2014|CCO-INDECOPI
24|1998|CRP-LBT
17|1998|CRP-AQP
29|2001|CRP-ODI-CCPL
735|2000|CRP-ODI-CAM
85|2010|CCO-INDECOPI
82|2018|CCO-INDECOPI
5|2020|CCO-INDECOPI-AQP
22|1999|CRP-AQP
15|2009|CCO-INDECOPI-AQP
372|2006|CCO-INDECOPI
11|1998|CRP-AQP
5|2005|CCO-INDECOPI-AQP
16|2001|CRP-LBT
21|1999|CRP-AQP
3|2003|CCO-INDECOPI-LOR
12|2001|CRP-ODI-ULI
9|2009|CCO-INDECOPI-LAL
162|1997|CRE-CAL
460|1998|CSM-ODI-CAL
2|2020|CCO-PARC
94|1999|CSM-ODI-ULI
204|1999|CRP-ODI-ULI
2|2008|CCO-INDECOPI-PIU
8|2011|CCO-INDECOPI-LAL
11|2004|CCO-INDECOPI-CUS
132|2003|CCO-ODI-ULI
84|2001|CRP-ODI-ULI
118|2000|CRP-ODI-CCPL
70|2004|CCO-ODI-UDP
26|2010|CCO-INDECOPI-LAL
66|2012|CCO-INDECOPI
362|1998|CSM-ODI-CAL
5|2020|CCO-INDECOPI
1120|2001|CRP-ODI-CAM
8|1999|CRP-PIURA
55|2021|CCO-INDECOPI
445|2009|CCO-INDECOPI
96|2016|CCO-INDECOPI
102|2004|CCO-INDECOPI
4|2009|CCO-INDECOPI-AQP
33|2010|CCO-INDECOPI-LAL
49|1999|CSM-ODI-CCPL
29|2012|CCO-INDECOPI
230|2001|CRP-ODI-ULI
42|2003|CCO-ODI-ESN
84|2003|CCO-ODI-UDP
38|2000|CRP-LBT
7|2001|CRP-LBT
24|2000|CRP-ODI-ULI
16|2012|CCO-INDECOPI-AQP
95|2004|CCO-ODI-UDP
125|2000|CRP-ODI-CCPL
132|2019|CCO-INDECOPI
12|2002|CCO-INDECOPI-LOR
45|2016|ILN-CCO
5|1995|CRP-ODICIX-CCPL
17|2012|CCO-INDECOPI-LAL
94|2019|CCO- INDECOPI
33|2001|CRP-ODI-CCPL
224|1999|CRP-ODI-CCPL
169|2006|CCO-INDECOPI
3|2019|CCO-INDECOPI
5|1996|CRP-AQP
20|2000|CRP-AQP
156|2014|ILN-CCO
6|2018|CCO-INDECOPI-LOR
945|2001|CRP-ODI-CAM
11|2005|CCO-INDECOPI-PIU
211|2000|CRP-ODI-CCPL
126|2007|CCO-INDECOPI
125|2004|CCO-ODI-ULI
45|2004|CCO-INDECOPI
3|2006|CCO-INDECOPI-LAM
289|2001|CRP-ODI-ULI
4|1997|CRP-ODICIX-CCPL
126|2020|CCO-INDECOPI
6|2003|CCO-ODI-UDP
9|2011|CCO-INDECOPI-LAL
18|2008|CCO-INDECOPI-AQP
4|1998|CRP-LBT
8|2017|CCO-INDECOPI-LOR
36|2009|CCO-INDECOPI
2|1999|CRP-LBT
1074|2001|CRP-ODI-CAM
3|1998|CRP-AQP
11|2002|CRP-ODICIX-CCPL
309|2006|CCO-INDECOPI
14|2008|CCO-INDECOPI
78|2003|CCO-ODI-UDP
8|2017|ILN-CCO
43|2017|CCO-INDECOPI
21|2006|CCO-INDECOPI-AQP
1|1995|CRP-AQP
84|2016|CCO-INDECOPI
11|2014|CCO-INDECOPI-AQP
26|2014|CCO-INDECOPI-AQP
501|2006|CCO-INDECOPI
109|2018|CCO-INDECOPI
70|2021|CCO-INDECOPI
18|2000|CRP-AQP
17|2020|CCO-PARC
130|2021|CCO-INDECOPI
4|2019|CCO-INDECOPI
92|2000|CRP-ODI-ULI
2|2018|CCO-INDECOPI-LOR
229|2006|CCO-INDECOPI
16|2011|CCO-INDECOPI-LAL
38|2014|CCO-INDECOPI-AQP
83|2002|CRP-AQP
1|2018|CCO-INDECOPI-LOR
9|1998|CRP-AEP
1|2001|CRP-ODI-ULI
72|2004|CCO-ODI-ESN
14|2011|CCO-INDECOPI-PIU
112|2006|CCO-INDECOPI
22|2000|CRP-IQT
411|1998|CSM-ODI-CAL
75|2003|CCO-ODI-ULI
109|2014|CCO-INDECOPI
37|2003|CCO-ODI-ULI
43|2004|CCO-ODI-ESN
88|2019|CCO-INDECOPI
226|2001|CRP-ODI-ULI
39|1996|CCE-CCPL
367|2005|CCO-INDECOPI
18|2003|CCO-ODI-ULI
74|2004|CCO-ODI-UDP
34|2014|CCO-INDECOPI-AQP
62|2020|CCO- INDECOPI
5|2017|CCO-INDECOPI-LOR
121|2017|CCO-INDECOPI
16|1998|CRP-AQP
45|2011|ILN-CCO
51|2010|CCO-INDECOPI-LAM
4|2015|CCO-INDECOPI-LOR
14|1999|CRP-ODICIX-CCPL
18|2020|CCO-PARC
1|2014|CCO-INDECOPI-LOR
156|2005|CCO-INDECOPI
104|2000|CRP-ODI-ULI
73|2000|CRP-ODI-PUC
47|2006|CCO-INDECOPI
94|2016|CCO-INDECOPI
182|2000|CRP-ODI-CCPL
24|2013|CCO-INDECOPI-AQP
101|2004|CCO-ODI-UDP
1|2000|CRP-AQP
90|2003|CCO-ODI-UDP
58|2021|CCO-INDECOPI
13|1999|CRP-ODICIX-CCPL
94|2015|ILN-CCO
65|2002|CRP-ODI-ULI
93|2017|CCO-INDECOPI
48|2016|ILN-CCO
28|2004|CCO-ODI-ESN
8|2009|CCO-INDECOPI-LAL
112|2015|CCO-INDECOPI
157|2006|CCO-INDECOPI
13|2001|CRP-AQP
5|2000|CRP-LBT
47|2018|CCO-INDECOPI
23|2012|CCO-INDECOPI-AQP
14|2021|CCO-INDECOPI-AQP
100|2015|CCO-INDECOPI
82|2009|CCO-INDECOPI-LAM
10|2003|CCO-INDECOPI-PIU
3|2006|CCO-INDECOPI-PIU
14|2000|CRP-IQT
66|2009|CCO-INDECOPI
93|2001|CRP-ODI-ULI
21|2011|CCO-INDECOPI-LAM
5|2012|CCO-INDECOPI
81|2002|CRP-AQP
84|2002|CCO-INDECOPI-AQP
33|2003|CCO-INDECOPI-AQP
82|2000|CRP-AQP
102|2004|CCO-ODI-UDP
99|2001|CRP-ODI-CCPL
150|2000|CRP-ODI-CCPL
88|2001|CRP-ODI-CCPL
227|2012|CCO-INDECOPI
18|2011|CCO-INDECOPI-LAL
68|2000|CRP-AQP
15|1998|CRP-AQP
716|2000|CRP-ODI-CAM
99|2017|CCO-INDECOPI
10|1999|CRP-AQP
45|2001|CRP-LBT
5|2004|CCO-INDECOPI-CUS
9|2008|CCO-INDECOPI-LAL
143|2021|CCO-INDECOPI
100|2015|CCO-INDECOPI
217|2006|CCO-INDECOPI
3|1997|CRP-LBT
118|2015|CCO-INDECOPI
30|2016|CCO-INDECOPI
267|2011|CCO-INDECOPI
138|2007|CCO-INDECOPI
65|2021|CCOINDECOPI
203|2001|CRP-ODI-ULI
67|2003|CCO-ODI-ULI
214|2013|CCO-INDECOPI
8|1998|CRP-AQP
19|2008|CCO-INDECOPI-LAM
125|2017|CCO-INDECOPI
6|2003|CCO-INDECOPI-LAL
8|1998|CRP-ODICIX-CCPL
22|2003|CCO-INDECOPI-AQP
85|2015|ILN-CCO
5|2011|CCO-INDECOPI-PIU
11|2022|CCOINDECOPI
96|2021|CCO-INDECOPI
59|2021|CCO-INDECOPI
16|2021|CCO-INDECOPI-AQP
60|2022|CCO-INDECOPI
61|2022|CCO-INDECOPI
8|2006|CCO-INDECOPI-PIU
99|2021|CCO-INDECOPI
279|2006|CCO-INDECOPI
102|2019|CCO-INDECOPI
104|2021|CCO-INDECOPI
25|2022|CCO-INDECOPI
102|2021|CCO-INDECOPI
133|2021|CCO-INDECOPI
14|2017|CCO-INDECOPI
95|2021|CCO-INDECOPI
90|2019|CCO-INDECOPI
111|2020|CCOINDECOPI
936|2000|CRP-ODI-CAM
15|2019|CCO-INDECOPI
13|2007|CCO-INDECOPI-LAL
436|2006|CCO-INDECOPI
118|2004|CCO-ODI-ESN
221|1998|CSM-ODI-CCPL
52|2019|CCO-INDECOPI
626|1999|CRP-ODI-CAM
121|2012|CCO-INDECOPI
26|2003|CCO-ODI-ULI
89|2004|CCO-ODI-ULI
72|2015|ILN-CCO
200|2008|CCO-INDECOPI
35|2009|CCO-INDECOPI-LAM
69|2021|CCO-INDECOPI
9|2020|CCO-INDECOPI
15|2020|CCO-PARC
8|2015|CCO-INDECOPI-LOR
64|2021|CCO-INDECOPI
139|2019|CCO-INDECOPI
189|2001|CRP-ODI-ULI
64|2002|CRP-PIURA
116|2021|CCO-INDECOPI
94|2020|CCO-INDECOPI
14|2021|CCO-INDECOPI
8|2004|CCO-ODI-UDP
828|2000|CRP-ODI-CAM
